# Constructed from biom file
#OTU ID	2280-046-AD01	2280-047-AD07	2280-048-B001	2280-049-B007	2280-050-B013	2280-051-B019	2280-052-N006	2280-053-N012	2280-054-AD02	2280-055-AD08	2280-056-B002	2280-057-B008	2280-058-B014	2280-059-N001	2280-060-N007	2280-061-N013	2280-062-AD03	2280-063-AD09	2280-064-B003	2280-065-B009	2280-066-B015	2280-067-N002	2280-068-N008	2280-069-N014	2280-070-AD04	2280-071-AD10	2280-072-B004	2280-073-B010	2280-074-B016	2280-075-N003	2280-076-N009	2280-077-AD06	2280-078-AD05	2280-079-AD11	2280-081-B011	2280-082-B017	2280-083-N004	2280-084-N010	2280-085-B006	2280-086-B012	2280-087-B018	2280-088-N005	2280-089-N011
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter	86.0	0.0	79.0	108.0	769.0	167.0	41.0	68.0	5.0	162.0	123.0	236.0	445.0	0.0	2.0	0.0	56.0	1369.0	0.0	435.0	762.0	0.0	0.0	38.0	44.0	123.0	667.0	232.0	626.0	0.0	0.0	78.0	66.0	24.0	96.0	360.0	0.0	0.0	108.0	236.0	134.0	0.0	50.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__uncultured	83.0	46.0	34.0	7.0	52.0	50.0	195.0	70.0	0.0	84.0	42.0	107.0	14.0	106.0	66.0	151.0	0.0	29.0	0.0	9.0	74.0	98.0	117.0	79.0	65.0	79.0	106.0	57.0	76.0	128.0	131.0	22.0	51.0	90.0	35.0	46.0	166.0	158.0	91.0	92.0	34.0	154.0	86.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;__	29.0	14.0	65.0	61.0	156.0	84.0	107.0	77.0	35.0	0.0	82.0	74.0	92.0	5.0	165.0	0.0	151.0	84.0	121.0	124.0	108.0	52.0	113.0	6.0	10.0	54.0	117.0	354.0	95.0	27.0	189.0	15.0	90.0	77.0	180.0	53.0	53.0	141.0	55.0	155.0	81.0	42.0	71.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031	26.0	0.0	78.0	95.0	76.0	0.0	120.0	0.0	122.0	0.0	57.0	152.0	0.0	91.0	139.0	0.0	0.0	0.0	121.0	91.0	0.0	51.0	17.0	0.0	0.0	0.0	0.0	3.0	11.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	126.0	54.0	0.0	38.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	100.0	153.0	326.0	293.0	146.0	138.0	67.0	125.0	0.0	0.0	212.0	509.0	0.0	0.0	44.0	98.0	0.0	85.0	182.0	355.0	0.0	31.0	49.0	38.0	0.0	79.0	0.0	171.0	0.0	39.0	28.0	122.0	45.0	64.0	74.0	0.0	24.0	74.0	259.0	48.0	26.0	3.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	83.0	55.0	59.0	69.0	162.0	133.0	48.0	146.0	0.0	0.0	63.0	98.0	198.0	0.0	0.0	102.0	78.0	0.0	0.0	84.0	177.0	33.0	21.0	20.0	25.0	42.0	219.0	21.0	99.0	7.0	0.0	57.0	0.0	42.0	126.0	316.0	20.0	0.0	130.0	151.0	141.0	10.0	0.0
d__Bacteria;__;__;__;__;__	222.0	78.0	64.0	170.0	75.0	317.0	353.0	271.0	207.0	131.0	76.0	173.0	36.0	430.0	339.0	136.0	8.0	150.0	364.0	66.0	54.0	375.0	257.0	88.0	18.0	299.0	115.0	197.0	83.0	434.0	99.0	160.0	139.0	193.0	142.0	52.0	372.0	129.0	106.0	156.0	95.0	507.0	111.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia	0.0	0.0	0.0	0.0	22.0	0.0	0.0	47.0	0.0	0.0	36.0	37.0	0.0	46.0	0.0	0.0	0.0	0.0	52.0	10.0	17.0	59.0	48.0	10.0	0.0	0.0	29.0	0.0	47.0	27.0	131.0	0.0	2.0	0.0	101.0	35.0	112.0	107.0	42.0	24.0	14.0	126.0	39.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__CI75cm.2.12	49.0	0.0	35.0	28.0	0.0	43.0	37.0	28.0	31.0	0.0	22.0	27.0	0.0	51.0	50.0	0.0	16.0	0.0	0.0	0.0	62.0	41.0	21.0	76.0	21.0	34.0	0.0	73.0	12.0	65.0	28.0	0.0	0.0	0.0	5.0	0.0	73.0	32.0	0.0	2.0	0.0	56.0	44.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.0	28.0	16.0	213.0	79.0	58.0	0.0	76.0	57.0	3.0	23.0	45.0	26.0	47.0	0.0	68.0	0.0	0.0	0.0	84.0	95.0	0.0	19.0	40.0	0.0	0.0	3.0	111.0	56.0	0.0	80.0	0.0	0.0	0.0	149.0	34.0	17.0	56.0	91.0	119.0	40.0	0.0	30.0
